X,Y,OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB
1752004,5948805,19664,,505805,0,,0,1,,North,2008/2009,HIBISCUS COAST HIGHWAY,BEACH ROAD,,Non-Injury Crash,No,2009,,North,,0,,Flat,,,,,,Twilight,172401,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,On,1,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null
1753073,5916063,19665,,517903,0,0,0,1,0,West,2008/2009,SUMMIT DRIVE,STILWELL ROAD,,Non-Injury Crash,No,2009,0,East,0,0,0,Hill Road,0,,0,,0,Bright sun,522600,0,0,0,2,0,0,0,0,0,,0,1,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,Null,0,0,,76,Auckland,Unknown,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1770994,5878103,19666,,521116,0,,0,0,,West,2009/2010,LOGAN ROAD,BUCKVILLE ROAD,,Non-Injury Crash,No,2009,,West,,0,,Flat,,,,,,Overcast,828303,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,76,Auckland,Nil,,,,,1,0,Urban,1,,,Light rain,Null
1745427,5920452,19667,,513301,0,,0,2,,South,2008/2009,LINCOLN ROAD,LINCOLN OFF WBD S,,Non-Injury Crash,No,2009,,South,,0,,Flat,,,,,,Bright sun,230301,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null
1760619,5922307,19668,,509400,0,0,0,3,0,East,2008/2009,KING EDWARD PARADE,MAYS ST,,Non-Injury Crash,No,2009,0,West,0,0,0,Flat,0,Easter,0,,0,Dark,330200,0,0,0,2,0,0,0,0,1,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,76,Auckland,Stop,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1817624,5803326,19669,,527503,0,,0,2,,North,2008/2009,SH 1N,QUEEN ST,,Non-Injury Crash,Yes,2009,,South,,0,,Flat,,,,,,Bright sun,963100,0,0,0,2,,,0,,,,,,Waikato Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,17,Waipa District,Unknown,,,,,0,0,Urban,0,,,Fine,Null
1755972,5918580,19670,,515500,0,0,0,1,0,West,2008/2009,SH 16,NEWTON OFF EBD,,Non-Injury Crash,Yes,2009,0,East,0,0,0,Flat,0,,0,,0,Dark,418600,0,0,1,4,0,0,0,0,0,,0,0,Auckland Region,Nil,1-way,Sealed,0,0,0,0,80,0,On,0,0,,76,Auckland,Unknown,0,0,0,0,0,0,Open,0,1,0,Light rain,Null
1756718,5927483,19671,,507900,0,,0,2,,Null,2009/2010,TAHAROTO ROAD,NORTHCOTE ROAD,,Non-Injury Crash,No,2009,,North,,0,,Flat,,,,,,Bright sun,303502,0,0,0,1,,,0,,,,,,Auckland Region,Nil,1-way,Sealed,,0,0,,50,,Off,0,0,,76,Auckland,Give way,,,,,0,0,Urban,0,,,Fine,Null
1754102,5930110,19672,,508420,0,0,0,2,0,Null,2008/2009,TARGET ROAD,CHEVAL DRIVE,,Non-Injury Crash,No,2009,0,East,0,0,0,Flat,0,,0,,0,Bright sun,182027,0,0,0,2,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,Null,0,0,,76,Auckland,Give way,0,0,0,0,0,0,Urban,0,1,0,Fine,Null
1783949,5924380,19673,,520801,0,0,0,1,0,North,2008/2009,OBRIEN ROAD,TE WHAU DRIVE,,Non-Injury Crash,No,2009,0,North,0,0,0,Hill Road,0,Queens Birthday,0,,0,Overcast,515610,0,0,0,2,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,80,0,Off,0,0,,76,Auckland,Nil,0,0,0,1,0,0,Open,0,0,0,Mist or Fog,Null
